REPORT_NUMBER,MODE,SEX,AGE,YEAR,COUNTY_NAME,S4_CRASH_SEVERITY,DAY_NIGHT,LOC_TYPE
26696433,E-Scooter,Female,23.0,2024,Miami-Dade,Injury,Day,Segment
26583654,E-Bike,Male,21.0,2024,Lee,Injury,Day,Segment
26477205,Bicycle,Male,47.0,2025,Pinellas,Injury,Day,Segment
26858920,E-Scooter,Female,29.0,2024,Pinellas,Injury,Day,Intersection
26858920,E-Scooter,Male,5.0,2024,Pinellas,Injury,Day,Intersection
26170482,E-Bike,Male,37.0,2023,Monroe,Injury,Day,Intersection
26461277,E-Bike,Male,14.0,2024,Osceola,Injury,Day,Segment
26713758,E-Scooter,Male,33.0,2024,Miami-Dade,Injury,Night,Segment
26633783,E-Scooter,Male,20.0,2026,Pasco,No Injury,Day,Intersection
26750330,E-Scooter,Male,22.0,2024,Palm Beach,Injury,Day,Segment
26308158,Bicycle,Male,63.0,2024,Collier,Injury,Day,Intersection
26859269,E-Bike,Male,41.0,2024,Pinellas,No Injury,Day,Intersection
26680808,E-Bike,Male,43.0,2026,Alachua,No Injury,Day,Segment
26154332,E-Scooter,Female,14.0,2024,Broward,No Injury,Day,Segment
26346949,E-Bike,Male,17.0,2024,Pasco,Injury,Day,Segment
26725746,E-Scooter,Female,25.0,2025,Miami-Dade,Injury,Day,Segment
26862517,E-Scooter,Female,25.0,2025,Pinellas,Injury,Day,Segment
26621833,E-Scooter,Male,19.0,2026,Orange,Injury,Day,Segment
26562391,E-Bike,Female,,2025,Pinellas,No Injury,Day,Intersection
26562488,E-Bike,Female,44.0,2025,Pinellas,Injury,Day,Intersection
26323284,E-Bike,Male,70.0,2024,Highlands,Fatality,Day,Segment
26486814,E-Scooter,Male,54.0,2024,Pinellas,Injury,Day,Segment
26791926,Bicycle,,,2025,Broward,Serious Injury,Night,Segment
26561752,E-Bike,Male,53.0,2025,Pinellas,No Injury,Day,Intersection
26771720,E-Scooter,Female,19.0,2025,Lee,Injury,Day,Segment
26507820,E-Scooter,,,2024,Broward,Injury,Day,Intersection
26184909,E-Scooter,Female,23.0,2023,Lee,Injury,Night,Segment
26542326,E-Bike,Female,25.0,2024,Hillsborough,Injury,Day,Intersection
26542539,Bicycle,Female,35.0,2024,Hillsborough,Injury,Day,Segment
26749150,E-Scooter,Female,37.0,2024,Palm Beach,Injury,Day,Intersection
26372127,E-Scooter,Male,61.0,2024,Osceola,Injury,Night,Intersection
26829606,E-Scooter,Male,44.0,2025,Duval,Injury,Day,Segment
26271013,E-Scooter,Male,30.0,2024,Miami-Dade,No Injury,Night,Intersection
26354672,Bicycle,Male,14.0,2024,Pasco,Injury,Night,Segment
26776907,E-Scooter,,,2024,Broward,No Injury,Day,Intersection
26618964,E-Scooter,Male,16.0,2024,Hillsborough,Injury,Night,Intersection
26752909,E-Bike,Male,44.0,2024,Palm Beach,Serious Injury,Night,Segment
26502540,E-Scooter,Male,35.0,2024,Sarasota,Injury,Night,Intersection
26140252,E-Scooter,Female,18.0,2024,Broward,Injury,Day,Intersection
26271970,E-Scooter,Female,22.0,2024,Miami-Dade,Serious Injury,Night,Segment
26770127,E-Bike,Male,53.0,2025,Polk,No Injury,Day,Intersection
26700198,Bicycle,Male,30.0,2024,Miami-Dade,Injury,Day,Segment
26205264,E-Bike,,,2025,Pinellas,Injury,Day,Segment
26865493,E-Bike,Male,30.0,2025,Pinellas,Injury,Day,Segment
26570340,E-Scooter,,,2024,St. Lucie,Injury,Day,Segment
26202851,E-Bike,,,2024,Pinellas,Injury,Day,Segment
26202760,E-Bike,,,2024,Pinellas,No Injury,Day,Segment
26542264,Bicycle,Female,32.0,2024,Hillsborough,Injury,Day,Intersection
26542264,Bicycle,Male,6.0,2024,Hillsborough,Injury,Day,Intersection
26653670,E-Bike,Male,59.0,2024,Indian River,Injury,Day,Segment
26538495,E-Scooter,Male,19.0,2024,Hillsborough,Fatality,Night,Segment
26169878,E-Bike,Male,26.0,2025,Manatee,No Injury,Day,Intersection
26785533,E-Bike,,,2025,Broward,Injury,Day,Segment
26222691,E-Scooter,,,2024,Palm Beach,Injury,Day,Segment
26157439,E-Bike,,,2024,Palm Beach,Injury,Day,Segment
26195696,E-Bike,Male,65.0,2025,Palm Beach,Injury,Day,Intersection
26330775,Bicycle,Male,62.0,2024,Monroe,Injury,Day,Segment
26559379,E-Bike,Male,18.0,2024,Pinellas,No Injury,Day,Intersection
26552061,E-Scooter,Male,19.0,2025,Hillsborough,Injury,Day,Segment
26340244,E-Bike,Male,37.0,2024,Duval,Injury,Night,Segment
26649776,E-Scooter,,,2024,Lee,Injury,Night,Intersection
26562163,E-Scooter,Male,32.0,2025,Pinellas,Injury,Day,Intersection
26794050,E-Bike,Male,39.0,2024,Lee,Injury,Day,Intersection
26153446,E-Bike,Male,42.0,2024,Broward,Injury,Day,Segment
26159845,E-Bike,Male,73.0,2024,Brevard,No Injury,Day,Segment
26298411,Bicycle,Male,83.0,2024,Pasco,Fatality,Day,Segment
26648260,E-Scooter,,,2024,Lee,Injury,Night,Intersection
26791423,E-Bike,,,2025,Broward,Injury,Night,Intersection
26791423,E-Bike,,,2025,Broward,Injury,Night,Intersection
26543891,E-Scooter,Female,19.0,2024,Hillsborough,Injury,Day,Segment
